type,actor,n
Movie,Al Pacino,14
Movie,Al Shearer,3
Movie,Al Tantay,15
Movie,Al Vicente,1
Movie,Al Whiting,2
Movie,Alaa Morsy,8
Movie,Alaa Seif,10
Movie,Alaa Zenhom,2
Movie,Alain Hernández,17
Movie,Alain Moussi,2
Movie,Alain Prost,9
Movie,Alain Saadeh,6
Movie,Alaina Huffman,3
Movie,Alan Alda,4
Movie,Alan Arkin,2
Movie,Alan Bates,9
Movie,Alan Cumming,15
Movie,Alan Dale,3
Movie,Alan Devlin,4
Movie,Alan Friedman,2
Movie,Alan Hopgood,6
Movie,Alan Mandell,12
Movie,Alan Marriott,27
Movie,Alan McGee,3
Movie,Alan Ng,3
Movie,Alan Oppenheimer,3
Movie,Alan Powell,5
Movie,Alan Rickman,9
Movie,Alan Ritchson,1
Movie,Alan Ruck,5
Movie,Alan Sabbagh,6
Movie,Alan Saldaña,2
Movie,Alan Tan,2
Movie,Alan Thicke,4
Movie,Alan Tudyk,16
Movie,Alan Wilder,2
Movie,Alan Young,4
Movie,Alanah Gilbert,3
Movie,Alankrita Sahai,3
Movie,Alanna Masterson,2
Movie,Alannah Ong,3
Movie,Alastair Forbes,2
Movie,Alastair Mackenzie,5
Movie,Alba Galocha,2
Movie,Alba Ribas,6
Movie,Alba Rohrwacher,12
Movie,Albert Brooks,17
Movie,Albert Evans,2
Movie,Albert Halim,3
Movie,Albert Hammond Jr.,3
Movie,Albert Kong,9
Movie,Albert Mora,2
Movie,Albert Pérez,3
Movie,Alberto Estrella,3
Movie,Alberto López,3
Movie,Alberto Saavedra,2
Movie,Aldan Shaikh,3
Movie,Alden Ehrenreich,9
Movie,Alden Tab,2
Movie,Aldo Tansani,6
Movie,Alec Baldwin,8
Movie,Alec Guinness,12
Movie,Alec Mapa,2
Movie,Alec Secareanu,3
Movie,Alejandra Ambrosi,4
Movie,Alejandra Flechner,8
Movie,Alejandra Urdiaín,4
Movie,Alejandra Yañez,3
Movie,Alejandro Agresti,6
Movie,Alejandro Awada,6
Movie,Alejandro Calva,6
Movie,Alejandro Castiglioni,9
Movie,Alejandro Flores,3
Movie,Alejandro Goic,19
Movie,Alejandro Oliva,3
Movie,Alejandro Paker,4
Movie,Alejandro Patiño,2
Movie,Alejandro Pous,4
Movie,Alejandro Sanz,6
Movie,Alejandro Suárez,3
Movie,Alejandro Urdapilleta,3
Movie,Alejandro Vera,2
Movie,Aleks Paunovic,5
Movie,Aleksandar Jovanovic,12
Movie,Aleksandar Seksan,3
Movie,Aleksander Bardini,3
Movie,Aleksander Bednarz,6
Movie,Aleksandr Baluev,1
Movie,Aleksandr Dyachenko,3
Movie,Aleksandra Grabowska,3
Movie,Aleksandra Popławska,3
Movie,Alencier Ley Lopez,8
Movie,Alessandra Denegri,2
Movie,Alessandra Rosaldo,3
Movie,Alessandra Torresani,1
Movie,Alessandra de Rossi,5
Movie,Alessandro Borghi,8
Movie,Alessandro Cimadamore,3
Movie,Alessandro Juliani,4
Movie,Alessandro Nivola,22
Movie,Alessandro Sperduti,3
Movie,Alessandro Tedeschi,4
Movie,Alessio Boni,8
Movie,Alessio Praticò,4
Movie,Alessio Scalzotto,3
Movie,Alex Abbad,11
Movie,Alex Alembe,6
Movie,Alex Arsenault,12
Movie,Alex Barima,2
Movie,Alex Barnett,3
Movie,Alex Biglane,2
Movie,Alex Borstein,4
Movie,Alex Brendemühl,2
Movie,Alex Calin,6
Movie,Alex Calleja,2
Movie,Alex Calloway,2
Movie,Alex D. Linz,2
Movie,Alex Dimitriades,3
Movie,Alex Dobrenko,2
Movie,Alex Ekubo,2
Movie,Alex Etel,3
Movie,Alex Feldman,2
Movie,Alex Fernández,1
Movie,Alex Ferris,3
Movie,Alex Fong,5
Movie,Alex Frnka,2
Movie,Alex Gonzaga,3
Movie,Alex Gonzalez,6
Movie,Alex Goode,2
Movie,Alex Hassell,4
Movie,Alex Hibbert,3
Movie,Alex House,1
Movie,Alex Kaluzhsky,2
Movie,Alex Karpovsky,4
Movie,Alex Kelly,1
Movie,Alex Kendrick,2
Movie,Alex Lam,3
Movie,Alex Lifeson,2
Movie,Alex MacNicoll,3
Movie,Alex McArthur,1
Movie,Alex Medina,5
Movie,Alex Moffat,2
Movie,Alex Moore,2
Movie,Alex Murphy,2
Movie,Alex Neustaedter,15
Movie,Alex Ozerov,1
Movie,Alex Papps,3
Movie,Alex Pettyfer,6
Movie,Alex Rennie,2
Movie,Alex Russell,4
Movie,Alex Saxon,2
Movie,Alex Sharp,2
Movie,Alex Sirvent,3
Movie,Alex Trebek,1
Movie,Alex Vincent,3
Movie,Alex Wolff,3
Movie,Alex Zahara,14
Movie,Alexa Davalos,8
Movie,Alexa Ilacad,3
Movie,Alexa Mansour,2
Movie,Alexa Nisenson,4
Movie,Alexa Pano,3
Movie,Alexa PenaVega,8
Movie,Alexander Arnold,19
Movie,Alexander Bello,2
Movie,Alexander Chan,2
Movie,Alexander Conti,4
Movie,Alexander Crowther,1
Movie,Alexander Doré,6
Movie,Alexander Fehling,4
Movie,Alexander Holtmann,6
Movie,Alexander Ludwig,2
Movie,Alexander Nevsky,4
Movie,Alexander Peleg,4
Movie,Alexander Siddig,3
Movie,Alexander Skarsgård,8
Movie,Alexander Strobele,1
Movie,Alexander Wraith,6
Movie,Alexandra Borbély,3
Movie,Alexandra Carter,1
Movie,Alexandra Daddario,4
Movie,Alexandra De La Mora,4
Movie,Alexandra Dinu,8
Movie,Alexandra Harris,2
Movie,Alexandra Jiménez,17
Movie,Alexandra Kahwaji,6
Movie,Alexandra Kyle,2
Movie,Alexandra Maria Lara,15
Movie,Alexandra Neldel,2
Movie,Alexandra Newick,4
Movie,Alexandra Richter,3
Movie,Alexandra Roach,4
Movie,Alexandra Shipp,3
Movie,Alexandre Harough,3
Movie,Alexandre Rodrigues,18
Movie,Alexandre Schreiber,3
Movie,Alexandria Deberry,7
Movie,Alexandria Lee,2
Movie,Alexandria Ocasio-Cortez,1
Movie,Alexey Tritenko,6
Movie,Alexia Dox,2
Movie,Alexia Fast,2
Movie,Alexia Giordano,6
Movie,Alexis Bledel,2
Movie,Alexis G. Zall,2
Movie,Alexis Louder,1
Movie,Alexis Michalik,3
Movie,Alexis Sánchez,3
Movie,Alexis Tomassian,2
Movie,Alexis de Anda,2
Movie,Alexx Ekubo,2
Movie,Alexx O'Nell,3
Movie,Alexxis Lemire,1
Movie,Alexz Johnson,2
Movie,Alfoniso Lopez,3
Movie,Alfonso Freeman,2
Movie,Alfonso Herrera,9
Movie,Alfonso Sánchez,5
Movie,Alfonso Tort,6
Movie,Alfre Woodard,28
Movie,Alfred Cheung,5
Movie,Alfred Lutter,3
Movie,Alfred Molina,144
Movie,Alfred Ryder,2
Movie,Alfred Thomas II,1
Movie,Alfredo Rollo,1
Movie,Algee Smith,2
Movie,Ali Al-Jabri,6
Movie,Ali Almarzouqi,12
Movie,Ali Asghar,3
Movie,Ali Azmat,2
Movie,Ali Badshah,12
Movie,Ali Bastian,1
Movie,Ali Cook,3
Movie,Ali Erkazan,3
Movie,Ali Fazal,12
Movie,Ali Fikry,2
Movie,Ali Hafiz,3
Movie,Ali Haji,3
Movie,Ali Hassan,2
Movie,Ali Hassanein,2
Movie,Ali Kazmi,3
Movie,Ali Labidi,3
Movie,Ali Larter,27
Movie,Ali Liebert,2
Movie,Ali Lohan,2
Movie,Ali Marhyar,4
Movie,Ali Mir,3
Movie,Ali Nuhu,4
Movie,Ali Rabee,2
Movie,Ali Rehman Khan,3
Movie,Ali Rizvi,2
Movie,Ali Sheikh,2
Movie,Ali Suliman,12
Movie,Ali Sunal,3
Movie,Ali Sürmeli,2
Movie,Ali Tataryn,1
Movie,Ali Wong,4
Movie,Ali Yoğurtçuoğlu,3
Movie,Ali Zafar,9
Movie,Ali Çelik,5
Movie,Ali-Asghar Shahbazi,4
Movie,Alia Almannai,2
Movie,Alia Bhatt,11
Movie,Alia Shawkat,15
Movie,Aliaa Al-Husseini,2
Movie,Alibaba Akporobome,3
Movie,Alice Belaïdi,7
Movie,Alice Braga,22
Movie,Alice Cooper,2
Movie,Alice Drummond,5
Movie,Alice Englert,20
Movie,Alice Eve,2
Movie,Alice Isaaz,3
Movie,Alice Krige,15
Movie,Alice Lee,2
Movie,Alice Li,2
Movie,Alice Lowe,4
Movie,Alice Patten,2
Movie,Alice Pol,9
Movie,Alice Révérend,2
Movie,Alice Ziolkoski,2
Movie,Alice de Broqueville,6
Movie,Alice de Lencquesaing,2
Movie,Alicia Banit,4
Movie,Alicia Fernández,2
Movie,Alicia James,1
Movie,Alicia Leigh Willis,1
Movie,Alicia Quiñonez,6
Movie,Alicia Rubio,5
Movie,Alicia Sandoval,6
Movie,Alicia Sanz,1
Movie,Alicia Silverstone,8
Movie,Alicia Vikander,32
Movie,Alicyn Packard,4
Movie,Alin Florea,9
Movie,Alina Chivulescu,3
Movie,Alisha Bailey,2
Movie,Alisha Boe,3
Movie,Alisha Khan,2
Movie,Alisha Wainwright,1
Movie,Alishka Varde,3
Movie,Alison Akin Clark,2
Movie,Alison Brie,9
Movie,Alison Chand,9
Movie,Alison Doody,3
Movie,Alison Pill,34
Movie,Alison Wandzura,2
Movie,Alissa Latow,2
Movie,Alisson Santiago,2
Movie,Alistair McGowan,4
Movie,Alistair Petrie,12
Movie,Alix Poisson,4
Movie,Aliyar,3
Movie,Alián Devetac,8
Movie,Alka Amin,6
Movie,Alka Badola Kaushal,8
Movie,Alkoya Brunson,2
Movie,Alla Tumanian,2
Movie,Allan Corduner,2
Movie,Allan Graf,3
Movie,Allan Hyde,6
Movie,Allan Kournikova,3
Movie,Allan Lima,2
Movie,Allan Paule,4
Movie,Allauddin Khan,2
Movie,Allegra Masters,6
Movie,Allen Covert,3
Movie,Allen Danziger,3
Movie,Allen Fiuzat,1
Movie,Allen Ginsberg,2
Movie,Allen Iverson,2
Movie,Allen Leech,6
Movie,Allen Maldonado,5
Movie,Allen Shubhro,33
Movie,Allene Quincy,2
Movie,Allison Janney,18
Movie,Allison Paige,3
Movie,Allison Strong,1
Movie,Allison Warnyca,1
Movie,Allison Williams,3
Movie,Ally Sheedy,3
Movie,Alma Jodorowsky,9
Movie,Alma Moreno,3
Movie,Alma Terzic,3
Movie,Alok Chaturvedi,6
Movie,Alok Gagdekar,2
Movie,Alok Kumar,3
Movie,Alok Nath,18
Movie,Alok Rajwade,3
Movie,Alon Aboutboul,2
Movie,Alona Tal,3
Movie,Along Eyzendy,2
Movie,Alonzo Muhlach,3
Movie,Alosian Vivancos,3
Movie,Alper Kul,2
Movie,Alperen Efe Esmer,2
Movie,Alpha Oumar Barry,2
Movie,Alphonso Mcauley,3
Movie,Altan Erkekli,15
Movie,Alun Armstrong,2
Movie,Alva Rogers,6
Movie,Alvaro Armand Ugon,2
Movie,Alvin Anson,4
Movie,Alvin Wong,3
Movie,Alwyn Uytingco,4
Movie,Aly Eltayeb,6
Movie,Alycia Debnam-Carey,2
Movie,Alycia Delmore,5
Movie,Alyona Chekhova,2
Movie,Alyshia Ochse,2
Movie,Alyson Standen,6
Movie,Alyson Stoner,4
Movie,Alyssa Diaz,1
Movie,Alyssa Goss,1
Movie,Alyssya Swales,5
Movie,Alyvia Alyn Lind,2
Movie,Alyy Khan,14
Movie,Alê Abreu,1
Movie,Ama K. Abebrese,8
Movie,Amadou Mbow,9
Movie,Amaia Salamanca,12
Movie,Amaka Obiechie,2
Movie,Amal Unnithan,2
Movie,Amala,3
Movie,Amala Paul,3
Movie,Aman Attar,2
Movie,Aman Dhaliwal,6
Movie,Aman Hundal,2
Movie,Aman Sutdhar,3
Movie,Aman Uppal,3
Movie,Aman Verma,3
Movie,Amanda Allan,4
Movie,Amanda Brugel,8
Movie,Amanda Bynes,15
Movie,Amanda Cerny,4
Movie,Amanda Clayton,2
Movie,Amanda Crew,2
