type,director,n
Movie,Emilio Martínez Lázaro,30
Movie,Emily Hagins,20
Movie,Emir Kusturica,12
Movie,Emma Hatherley,1
Movie,Emmanuel Mouret,12
Movie,Emmett Malloy,39
Movie,Eondeok Han,40
Movie,Eric Aghimien,16
Movie,Eric Bross,52
Movie,Eric Idle,23
Movie,Eric Khoo,42
Movie,Eric Laneuville,4
Movie,Eric Radomski,18
Movie,Eric Stoltz,10
Movie,Eric Summer,36
Movie,Eric Zaragosa,40
Movie,Erik Canuel,51
Movie,Erik Ewers,1
Movie,Erik Matti,20
Movie,Erik White,9
Movie,Ernie Barbarash,34
Movie,Erol Özlevi,24
Movie,Errol Morris,3
Movie,Erwin van den Eshof,27
Movie,Eshom Nelms,13
Movie,Espen Sandberg,150
Movie,Esteban Crespo,27
Movie,Esteban Sapir,30
Movie,Esteban Vidal,32
Movie,Ethan Coen,84
Movie,Eugenio Derbez,30
Movie,Eva Orner,1
Movie,Eva Trobisch,12
Movie,Eva Vives,54
Movie,Evan Katz,28
Movie,Evan Spiridellis,9
Movie,Ezekiel Norton,56
Movie,Fabien Beziat,2
Movie,Fabio Grassadonia,72
Movie,Fabio Guaglione,72
Movie,Fabio Resinaro,72
Movie,Fabrice Du Welz,64
Movie,Fabrizio Copano,30
Movie,Faozan Rizal,42
Movie,Farah Khan,96
Movie,Faraz Haider,24
Movie,Farhan Akhtar,124
Movie,Farhan Alam,24
Movie,Farjad Nabi,30
Movie,Fazila Allana,1
Movie,Federico D'Alessandro,6
Movie,Federico Veiroj,189
Movie,Fedor Lyass,6
Movie,Felix Chong,21
Movie,Felix Herngren,14
Movie,Felix Starck,3
Movie,Felix Thompson,12
Movie,Felix Van Groeningen,40
Movie,Felix van Groeningen,40
Movie,Fellipe Barbosa,78
Movie,Femi Oyeniran,44
Movie,Feng Xiaogang,39
Movie,Fernando Ayllón,73
Movie,Fernando Coimbra,24
Movie,Fernando Colomo,20
Movie,Fernando Frías De La Parra,15
Movie,Fernando González Molina,60
Movie,Fernando Lebrija,12
Movie,Fernando Meirelles,93
Movie,Fernando Sariñana,12
Movie,Feroz,30
Movie,Filip Renc,40
Movie,Fisher Stevens,19
Movie,Florent Bodin,3
Movie,Florian Gallenberger,150
Movie,Florian Henckel von Donnersmarck,107
Movie,Florian Schnell,21
Movie,Floyd Russ,2
Movie,Francesco Imperato,2
Movie,Francis Ford Coppola,40
Movie,Francis Lee,12
Movie,Francisco Schultz,1
Movie,Franck Ekinci,90
Movie,Franck Phelizon,54
Movie,Franck Ribière,90
Movie,Frank Ariza,18
Movie,Frank Capra,8
Movie,Frank Coraci,84
Movie,Frank Miller,17
Movie,Frank O'Connor,24
Movie,Frank Oz,66
Movie,Frank Paur,38
Movie,Frank Rajah Arase,18
Movie,Frank W Chen,4
Movie,Frant Gwo,30
Movie,Fred Cavayé,48
Movie,Fred Durst,30
Movie,Fred M. Wilcox,21
Movie,Fred Olen Ray,16
Movie,Frédéric Tonolli,2
Movie,Fumihiko Sori,33
Movie,Fuwad Khan,16
Movie,G.J. Echternkamp,42
Movie,Gabe Ibáñez,108
Movie,Gabe Klinger,48
Movie,Gabe Turner,2
Movie,Gabriel Clarke,3
Movie,Gabriel Grieco,36
Movie,Gabriel Julien-Laferrière,72
Movie,Gabriel Sabloff,54
Movie,Gabriela Tagliavini,39
Movie,Gabriele Muccino,36
Movie,Gaby Dellal,18
Movie,Gafoor Y. Elliyaas,18
