type,director,n
Movie,Sukum Maetawanitch,16
Movie,Suman Ghosh,24
Movie,Suman Mukhopadhyay,30
Movie,Sumitra Bhave,53
Movie,Sunao Katabuchi,27
Movie,Sundar C.,48
Movie,Sung-soo Kim,12
Movie,Sunil Kumar Agrawal,30
Movie,Sunil Soraya,21
Movie,Sunil Sukthankar,53
Movie,Sunil Thakur,16
Movie,Sunkanmi Adebayo,12
Movie,Suparn Verma,54
Movie,Supavitra Babul,21
Movie,Surya S.J.,30
Movie,Susan Johnson,46
Movie,Susannah Ward,3
Movie,Susanne Bier,30
Movie,Suseenthiran,12
Movie,Sushil Majumdar,30
Movie,Sushrut Jain,6
Movie,Suzanne Coote,16
Movie,Svetlana Cvetko,16
Movie,Swapna Waghmare Joshi,16
Movie,Swapnaneel Jayakar,24
Movie,Syamsul Yusof,16
Movie,Sydney Freeland,39
Movie,Syed Ahmad Afzal,27
Movie,Syed Ahmed Shawki,30
Movie,Syed Atif Ali,14
Movie,Syed Saleh Ahmed Sobhan,30
Movie,Sylvain Blais,13
Movie,Sylvester Stallone,54
Movie,Sylvie Verheyde,42
Movie,Syrine Boulanouar,3
Movie,Sze Yu Lau,45
Movie,Sébastien Betbeder,10
Movie,T.J. Martin,8
Movie,Taika Waititi,54
Movie,Tamara Jenkins,30
Movie,Tan Bing,16
Movie,Tanit Jitnukul,6
Movie,Tanuj Bhramar,15
Movie,Tanuj Chopra,6
Movie,Tanuja Chandra,40
Movie,Tanveer Khan,21
Movie,Tanvir Ahsan,30
Movie,Tanwarin Sukkhapisit,16
Movie,Tarek Abdel Moaty,18
Movie,Tarek Al Eryan,39
Movie,Tariq Khan,18
Movie,Taron Lexton,22
Movie,Tarsem Singh,20
Movie,Tarun Mansukhani,16
Movie,Tathagata Banerjee,15
Movie,Ted Braun,1
Movie,Ted Demme,11
Movie,Ted Emery,15
Movie,Ted Geoghegan,33
Movie,Teddy Lussi-Modeste,20
Movie,Tejas Prabha Vijay Deoskar,16
Movie,Tekin Girgin,8
Movie,Teng Huatao,24
Movie,Tensai Okamura,21
Movie,Teo Konuralp,18
Movie,Terri Randall,1
Movie,Terry Gilliam,219
Movie,Terry Hughes,16
Movie,Terry Jones,51
Movie,Terry Loane,8
Movie,Tharun Bhascker,12
Movie,Theo Davies,28
Movie,Theodore Boborol,40
Movie,Theodore Witcher,24
Movie,Thiagarajan Kumararaja,24
Movie,Thierry Demaizière,2
Movie,Thiru,48
Movie,Thom Zimny,1
Movie,Thomas Astruc,33
Movie,Thomas Carter,44
Movie,Thomas Sieben,9
Movie,Thomas Sorriaux,33
Movie,Thomas Stuber,24
Movie,Thomas Vinterberg,81
Movie,Tianyu Zhao,30
Movie,Ticoy Rodriguez,63
Movie,Tig Notaro,1
Movie,Tigmanshu Dhulia,21
Movie,Tilak Shetty,3
Movie,Tim Bartley,16
Movie,Tim Blake Nelson,28
Movie,Tim Burton,110
Movie,Tim Hill,120
Movie,Tim Johnson,18
Movie,Tim Maltby,94
Movie,Tim Rouhana,10
Movie,Tim Story,2
Movie,Tim Van Someren,2
Movie,Timo Tjahjanto,78
Movie,Timothy Reckart,34
Movie,Timothy Woodward Jr.,33
Movie,Tinnu Anand,30
Movie,Titien Wattimena,30
Movie,To-hoi Kong,44
Movie,Toa Fraser,74
Movie,Tobe Hooper,30
Movie,Toby Trackman,1
Movie,Todd Phillips,20
Movie,Todd S. Yellin,24
Movie,Todd Standing,1
Movie,Todd Wider,1
Movie,Todor Chapkanov,18
Movie,Toka McBaror,36
Movie,Tolga Örnek,12
Movie,Tom Donahue,3
Movie,Tom Edmunds,7
Movie,Tom Fassaert,6
Movie,Tom Ford,30
Movie,Tom Forrest,1
Movie,Tom Gianas,30
Movie,Tom Green,24
Movie,Tom Holland,20
Movie,Tom Hooper,246
Movie,Tom O'Brien,18
Movie,Tom O'Dell,20
Movie,Tom Shadyac,33
Movie,Tom Stern,26
Movie,Tom Tykwer,120
Movie,Tom Whitter,1
Movie,Tomas Portella,20
Movie,Tomer Heymann,8
Movie,Tomm Moore,70
Movie,Tommy Avallone,4
Movie,Tommy O'Haver,8
Movie,Tommy Wirkola,66
Movie,Tomoki Kyoda,24
Movie,Tony Datis,60
Movie,Tony Elliott,42
Movie,Tony Giglio,33
Movie,Tony Kaye,11
Movie,Tony Leondis,14
Movie,Tony Scott,40
Movie,Tony Stone,1
Movie,Tony Zierra,1
Movie,Tope Oshin,36
Movie,Torquil Jones,3
Movie,Toshiya Shinohara,117
Movie,Toshiyuki Kanno,24
Movie,Toshiyuki Kubooka,108
Movie,Toshiyuki Tsuru,33
Movie,Travis Zariwny,12
Movie,Trent Haaga,39
Movie,Trevor Ryan,33
Movie,Trey Edward Shults,38
Movie,Troy Miller,13
Movie,Troy Nixey,30
Movie,Tsutomu Mizushima,30
Movie,Tudor Giurgiu,72
Movie,Tugçe Soysop,22
Movie,Udai Singh Pawar,24
Movie,Ui-seok Jo,14
Movie,Ulises Valencia,2
Movie,Umer Adil,24
Movie,Umesh Ghadge,20
Movie,Umesh Mehra,228
Movie,Umesh Shukla,60
Movie,Uttung Shelar,12
Movie,Uwe Boll,14
Movie,V C Abhilash,24
Movie,V. K. Prakash,9
Movie,V. Scott Balcerek,4
Movie,Vadim Jean,10
Movie,Valeria Golino,24
Movie,Valeria Pivato,8
Movie,Valli Bindana,4
Movie,Van M. Pham,18
Movie,Vandana Kataria,24
Movie,Vanita Shastry,22
Movie,Varun Narvekar,12
Movie,Vasan Bala,24
Movie,Venugopan,16
Movie,Vetrimaaran,18
Movie,Vibeke Idsøe,44
Movie,Vic Armstrong,48
Movie,Vicente Villanueva,18
Movie,Vicky Matthews,5
Movie,Victor Cook,18
Movie,Victor Dal Chele,10
Movie,Victor Levin,18
Movie,Victor Zarcoff,18
Movie,Victoria Bromley,1
Movie,Vijay,24
Movie,Vijay Jayapal,8
Movie,Vijay Kumar,12
Movie,Vijay Kumar Arora,15
Movie,Vijay Lalwani,21
Movie,Vijay Milton,24
Movie,Vijay Yelakanti,18
Movie,Viju Mane,24
Movie,Vikas Bahl,57
Movie,Vikram Bhatt,24
Movie,Vikram Gandhi,9
Movie,Vikram Pradhan,24
Movie,Vikram Tanajirao Patil,24
Movie,Vikramaditya Motwane,54
Movie,Vinay Sapru,24
Movie,Vince Gilligan,2
Movie,Vince Marcello,34
Movie,Vincent Kok,27
Movie,Vincent Perez,33
Movie,Vincente Minnelli,30
Movie,Vincenzo Natali,12
Movie,Vineeth Anil,10
Movie,Vinod Kapri,3
Movie,Vipin Parashar,18
Movie,Vipul Amrutlal Shah,57
Movie,Vishal Bhardwaj,126
Movie,Vishal Mahadkar,18
Movie,Vishal Mishra,24
Movie,Vishnu Govindhan,16
Movie,Visute Poolvoralaks,20
Movie,Vivek Agnihotri,54
Movie,Vivek Wagh,24
Movie,Vivieno Caldinelli,38
Movie,Vlad Yudin,6
Movie,Volker Weicker,1
Movie,Vonda Harrell,20
Movie,Wade Allain-Marcus,12
Movie,Wael Ehsan,20
Movie,Wael Ihsan,38
Movie,Wagner de Assis,24
Movie,Walerian Borowczyk,24
Movie,Wally Pfister,48
Movie,Walter C. Miller,2
Movie,Warren P. Sonoda,28
Movie,Wash Westmoreland,20
Movie,Waymon Boone,20
Movie,Wayne Blair,30
Movie,Wayne Orr,16
Movie,Wenn V. Deramas,105
Movie,Werner Herzog,26
Movie,Wes Craven,35
Movie,White Trash Tyler,2
Movie,Wi Ding Ho,60
Movie,Will Canon,20
Movie,Will Eisenberg,16
Movie,Will Eubank,12
Movie,Will Gluck,40
Movie,Will Graham,39
Movie,Will Lovelace,1
Movie,Will Lowell,20
Movie,Will Yapp,12
Movie,William Bindley,22
Movie,William Brent Bell,14
Movie,William Eubank,12
Movie,William H. Macy,22
Movie,William Kaufman,16
Movie,William Lau,58
Movie,William Monahan,18
Movie,William Wyler,4
Movie,Wilson Coneybeare,10
Movie,Wilson Yip,200
Movie,Wim Wenders,15
Movie,Wojciech Marczewski,24
Movie,Wolfgang Petersen,78
Movie,Wong Fei-Pang,9
Movie,Wong Jing,123
Movie,Wong Kar Wai,66
Movie,Woo Min-ho,27
Movie,Woo Ming Jin,18
Movie,Woody Allen,33
Movie,Wyatt Cenac,1
Movie,Xavier Durringer,39
Movie,Xavier Gens,20
Movie,Xiaoxing Yi,48
Movie,Xu Zhang,20
Movie,Y. Joon Chung,1
Movie,Yam Laranas,20
Movie,Yang Lei,30
Movie,Yang Woo-seok,24
Movie,Yann Arthus-Bertrand,2
Movie,Yann Gozlan,40
Movie,Yanyong Kuruaungkoul,24
Movie,Yarrow Cheney,48
Movie,Yasir Nawaz,24
Movie,Yasushi Kawamura,42
Movie,Yasushi Muraki,24
Movie,Yayo Herrero,18
Movie,Yee Tung-Shing,48
Movie,Yen Cheng-kuo,18
Movie,Yeo Siew Hua,30
Movie,Yesim Ustaoglu,48
Movie,Yeung Yat-Tak,14
Movie,Yibrán Asuad,30
Movie,Yoav Paz,30
Movie,Yolanda Ramke,20
Movie,Yorgos Lanthimos,165
Movie,Yoshitaka Takeuchi,48
Movie,Yoshiyuki Momose,30
Movie,You-Jeong Chang,24
Movie,Yuen Wo-Ping,44
Movie,Yuen Woo-ping,32
Movie,Yusuf Pirhasan,33
Movie,Yvan Attal,44
Movie,Yılmaz Erdoğan,191
Movie,Zach Braff,30
Movie,Zach Clark,21
Movie,Zachary Heinzerling,2
Movie,Zack Snyder,20
Movie,Zack Whedon,48
Movie,Zak Hilditch,32
Movie,Zakariya,12
Movie,Zatella Beatty,2
Movie,Zeke Norton,5
Movie,Zhang Yimou,48
Movie,Ziga Virc,15
Movie,Zoe Berriatúa,46
Movie,Zoe Lister-Jones,42
Movie,Zoya Akhtar,168
Movie,Zune Kwok,9
Movie,Àlex Pastor,24
Movie,Álex de la Iglesia,78
Movie,Álvaro Brechner,60
Movie,Çagan Irmak,20
Movie,Éric Warin,36
Movie,Ísold Uggadóttir,27
Movie,Óskar Thór Axelsson,20
Movie,Ömer Faruk Sorak,84
Movie,Şenol Sönmez,24
TV Show,Ahmed Khaled Moussa,33
TV Show,Ahmet Katıksız,45
TV Show,Alastair Fothergill,24
TV Show,Alejandro Lozano,90
TV Show,Andrew Tan,7
TV Show,Andrés Beltrán,39
TV Show,Andy Devonshire,8
TV Show,Anurag Kashyap,30
TV Show,Bruce Sinofsky,4
TV Show,Bryan Spicer,16
TV Show,Carlos Bolado,42
TV Show,Carlos Sedes,54
TV Show,Cecilia Peck,8
TV Show,Chang-Min Lee,30
TV Show,Chen Hung-yi,24
TV Show,Cho Li,24
TV Show,DJ Chen,30
TV Show,Dan Lucchesi,3
TV Show,Daniel Kontur,2
TV Show,Danny Cannon,75
TV Show,David Schalko,33
TV Show,Dean White,16
TV Show,Dheeraj Berry,4
TV Show,Ehtesham Uddin,18
TV Show,Eli Roth,57
TV Show,Eric Abrams,1
TV Show,Everardo Gout,21
TV Show,Felipe Cano,39
TV Show,Gary Howsam,11
TV Show,Glen Winter,33
TV Show,Go Koga,30
TV Show,Gordon Anderson,12
TV Show,Guy Vasilovich,30
TV Show,Gwyneth Horder-Payton,16
TV Show,Han Qing,18
TV Show,Hayato Date,16
TV Show,Hiroyuki Seshita,11
TV Show,Ian Barber,21
TV Show,Iginio Straffi,48
TV Show,Jaime Rayo,39
TV Show,Jakob Schuh,18
TV Show,Jakob Verbruggen,30
TV Show,James Bamford,34
TV Show,James Hawes,24
TV Show,Jani Lachauer,18
TV Show,Jay Chandrasekhar,14
TV Show,Jeon Go-woon,21
TV Show,Jerry Seinfeld,2
TV Show,Jesse Warn,26
TV Show,Joe Berlinger,4
TV Show,Joel Gallen,2
TV Show,John Paul Tremblay,11
TV Show,Jung-ah Im,30
TV Show,Kazuya Murata,22
TV Show,Ken Burns,17
TV Show,Kiko Cruz Claverol,42
TV Show,Kim Jong-kwan,21
TV Show,Kim Seong-hun,60
TV Show,Kobun Shizuno,11
TV Show,Lars Kaalund,27
TV Show,Laurent Bouzereau,6
TV Show,Lee Eung-bok,15
TV Show,Lee Kyoungmi,21
TV Show,Lee Toland Krieger,18
TV Show,Lee Yoon-jung,27
TV Show,Lin Guan-fu,24
TV Show,Liu Bang-yao,24
TV Show,Luis Alberto Restrepo,39
TV Show,Mario Van Peebles,16
TV Show,Mark Tonderai,33
TV Show,Masaaki Yuasa,39
TV Show,Mat King,14
TV Show,Michael Cumming,21
TV Show,Michael Samuels,48
TV Show,Michael Waxman,16
TV Show,Michel Tikhomiroff,42
TV Show,Miguel Conde,45
TV Show,Mike Smith,11
TV Show,Milan Cheylov,16
TV Show,Neslihan Yesilyurt,9
TV Show,Nizar Shafi,8
TV Show,Noam Murro,189
TV Show,Norm Hiscock,11
TV Show,Oliver Stone,1
TV Show,Olivier Jean-Marie,16
TV Show,Onur Ünlü,27
TV Show,Park Joon-hwa,24
TV Show,Patricia Font,42
TV Show,Patrick Graham,12
TV Show,Peter Ho,21
TV Show,Phil Sgriccia,27
TV Show,Philippa Lowthorpe,51
TV Show,Quentin Tarantino,9
TV Show,Ralph Hemecker,16
TV Show,Rob Seidenglanz,103
TV Show,Robb Wells,11
TV Show,Serdar Akar,30
TV Show,Seren Yüce,39
TV Show,Seung-uk Jo,9
TV Show,Shen Chi,24
TV Show,Shin Won-ho,54
TV Show,Soumendra Padhi,18
TV Show,Stan Lathan,4
TV Show,Stefan Brogren,57
TV Show,Stephen Murray,7
TV Show,Stuart Orme,30
TV Show,Takuya Igarashi,30
TV Show,Tensai Okamura,26
TV Show,Thomas Astruc,120
TV Show,Tig Notaro,2
TV Show,Toby Haynes,30
TV Show,Tony Collingwood,15
TV Show,Tsutomu Mizushima,16
TV Show,Vikramaditya Motwane,30
TV Show,Weica Wang,24
TV Show,YC Tom Lee,24
TV Show,Yasuhiro Irie,42
TV Show,Yim Pilsung,21
